Date,open,high,low,close,volume,overnightSHIBOR,CPI,GDP,PPI
4/16/2010,3388.286,3388.286,3348.781,3356.332,4714036800,1.2874,0.7,87616.7,0.5
4/19/2010,3313.499,3313.499,3175.441,3176.423,8841630000,1.2875,0.7,87616.7,0.5
4/20/2010,3176.414,3196.646,3130.96,3173.374,6413785900,1.2896,0.7,87616.7,0.5
4/21/2010,3178.877,3237.537,3164.765,3236.679,6692833100,1.2917,0.7,87616.7,0.5
4/22/2010,3222.68,3231.985,3177.726,3201.541,7108168800,1.2933,0.7,87616.7,0.5
4/23/2010,3198.784,3224.739,3172.578,3190.003,6125267900,1.2888,0.7,87616.7,0.5
4/26/2010,3195.457,3207.715,3168.374,3171.997,5089419900,1.2896,0.7,87616.7,0.5
4/27/2010,3163.101,3163.101,3060.854,3108.409,6529657400,1.3319,0.7,87616.7,0.5
4/28/2010,3080.324,3122.115,3062.085,3097.353,4599540600,1.3425,0.7,87616.7,0.5
4/29/2010,3114.941,3130.696,3059.796,3060.064,4826097100,1.3529,0.7,87616.7,0.5
4/30/2010,3060.12,3068.127,3014.069,3067.365,5447788100,1.3973,0.2,87616.7,1
5/4/2010,3005.487,3056.082,2994.921,3019.449,4124861000,1.3979,0.2,87616.7,1
5/5/2010,2981.777,3036.865,2943.361,3036.394,5967044100,1.4093,0.2,87616.7,1
5/6/2010,3014.907,3014.907,2895.392,2896.856,5877041300,1.4088,0.2,87616.7,1
5/7/2010,2835.879,2892.533,2817.153,2836.789,6111939900,1.4088,0.2,87616.7,1
5/10/2010,2842.366,2872.314,2798.523,2858.233,5020917300,1.5054,0.2,87616.7,1
5/11/2010,2916.335,2922.125,2790.701,2800.817,5836349000,1.5042,0.2,87616.7,1
5/12/2010,2781.708,2832.147,2756.422,2818.16,5300227100,1.5008,0.2,87616.7,1
5/13/2010,2818.578,2886.972,2811.661,2886.911,5514577800,1.4983,0.2,87616.7,1
5/14/2010,2865.58,2888.093,2849.241,2868.023,4249871900,1.5,0.2,87616.7,1
5/17/2010,2828.882,2828.882,2712.444,2714.715,5216684700,1.5433,0.2,87616.7,1
5/18/2010,2711.407,2781.845,2686.973,2771.348,5450967100,1.5438,0.2,87616.7,1
5/19/2010,2748.952,2803.695,2723.304,2762.174,4557622100,1.5454,0.2,87616.7,1
5/20/2010,2739.219,2793.876,2721.072,2726.022,4217480300,1.5502,0.2,87616.7,1
5/21/2010,2656.419,2769.094,2647.597,2768.791,5447538300,1.6588,0.2,87616.7,1
5/24/2010,2787.751,2886.368,2787.751,2873.469,7450233800,1.7425,0.2,87616.7,1
5/25/2010,2851.256,2855.332,2798.02,2813.943,5516832700,1.855,0.2,87616.7,1
5/26/2010,2814.444,2839.031,2797.628,2813.944,3985856400,2.1592,0.2,87616.7,1
5/27/2010,2808.048,2866.865,2771.586,2859.979,5344520900,2.32,0.2,87616.7,1
5/28/2010,2885.857,2893.687,2835.069,2850.302,5153498900,2.21,0.2,87616.7,1
5/31/2010,2835.334,2857.416,2772.792,2773.264,4621685400,2.3725,-0.1,87616.7,0.6
6/1/2010,2755.284,2782.288,2710.593,2744.162,4485142600,2.7408,-0.1,87616.7,0.6
6/2/2010,2729.328,2757.914,2700.075,2757.527,3958702000,2.7654,-0.1,87616.7,0.6
6/3/2010,2769.096,2787.512,2735.7,2736.076,3958725800,2.7513,-0.1,87616.7,0.6
6/4/2010,2721.359,2748.476,2713.095,2744.391,3274629100,2.1024,-0.1,87616.7,0.6
6/7/2010,2692.831,2716.401,2673.342,2695.715,3954199300,1.7041,-0.1,87616.7,0.6
6/8/2010,2694.106,2720.586,2672.058,2699.336,3514018200,1.8413,-0.1,87616.7,0.6
6/9/2010,2711.642,2787.825,2687.331,2782.133,6020953300,1.8454,-0.1,87616.7,0.6
6/10/2010,2755.94,2776.259,2746.107,2750.023,4290633400,1.935,-0.1,87616.7,0.6
6/11/2010,2766.196,2782.095,2755.949,2758.866,4055858500,1.9788,-0.1,87616.7,0.6
6/17/2010,2778.533,2784.916,2742.64,2742.733,3261235600,2.18,-0.1,87616.7,0.6
6/18/2010,2739.032,2755.842,2686.614,2696.166,4180834400,2.2142,-0.1,87616.7,0.6
6/21/2010,2698.984,2784.47,2686.323,2780.663,5526148200,2.2292,-0.1,87616.7,0.6
6/22/2010,2772.886,2795.323,2766.443,2783.72,3909605200,2.2463,-0.1,87616.7,0.6
6/23/2010,2768.695,2788.219,2734.047,2758.495,3560035000,2.2408,-0.1,87616.7,0.6
6/24/2010,2753.712,2783.508,2739.807,2757.498,2922068200,2.3067,-0.1,87616.7,0.6
6/25/2010,2744.122,2759.445,2715.655,2736.287,3067178200,2.2933,-0.1,87616.7,0.6
6/28/2010,2734.507,2751.455,2710.087,2716.777,2771004400,2.2883,-0.1,87616.7,0.6
6/29/2010,2717.465,2724.231,2591.694,2592.019,4875855200,2.2785,-0.1,87616.7,0.6
6/30/2010,2572.912,2575.824,2546.843,2563.07,3569879400,2.2683,-0.6,99532.4,-0.3
